"","id","status_group","latitude","longitude","region","management","quantity","population","IMPinstaller","IMPfunder"
"18",4082,"non-functional",-8.51673484,33.00595787,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"19",4154,"non-functional",-8.7020625,33.28141482,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"20",4910,"non-functional",-8.51560405,33.00866057,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"21",5139,"non-functional",-8.45327291,33.28507791,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"22",5310,"non-functional",-7.83188349,33.35386364,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"23",5423,"non-functional",-7.94456456,33.31076648,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"24",5574,"functional-needs-repair",-8.41771454,33.16544743,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"25",5858,"non-functional",-8.52253759,33.01178468,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"26",6866,"non-functional",-8.57303834,33.04212204,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"27",7052,"functional",-8.03029007,33.26414507,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"28",7306,"non-functional",-8.43549505,33.0146321,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"29",7484,"non-functional",-8.63257641,33.15354866,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"30",7932,"functional",-8.48273263,33.05025446,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"31",8236,"functional",-8.55284881,32.99809764,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"32",8425,"non-functional",-7.88205599,32.49388127,"Mbeya","vwc","enough",0,"GOVERNMENT","Other"
"33",8581,"functional",-8.02046216,33.29451791,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"34",8894,"non-functional",-8.11614252,33.25723421,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"35",9362,"non-functional",-8.51989625,33.00788179,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"36",9516,"functional",-8.70587783,33.19080802,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"37",9707,"functional",-8.45308219,33.00765347,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"38",9717,"functional",-8.0220301,33.26415796,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"39",9907,"functional",-8.39810704,32.90497929,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"40",9959,"functional",-7.74034617,32.81678395,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"41",10120,"functional-needs-repair",-8.56935456,33.45210721,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"42",10255,"non-functional",-8.43389541,33.01078713,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"43",10846,"functional",-7.83092038,33.35119177,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"44",11316,"functional-needs-repair",-8.59737699,33.105082,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"45",11387,"non-functional",-8.62141301,33.0332437,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"46",11547,"non-functional",-8.52257544,33.00863116,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"47",11693,"functional-needs-repair",-8.35298976,32.90853565,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"48",11851,"non-functional",-8.45153439,33.28041936,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"49",12174,"non-functional",-8.57196063,33.03824339,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"50",12813,"non-functional",-7.71989731,32.7909226,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"51",12852,"non-functional",-7.13843257,33.48513563,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"52",13396,"functional-needs-repair",-8.04502638,33.2194513,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"53",13434,"functional-needs-repair",-7.74289109,32.81739417,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"54",13532,"functional-needs-repair",-8.69966895,33.28528839,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"55",14095,"functional",-8.37180002,33.17613203,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"56",15680,"functional-needs-repair",-7.74143181,32.82101044,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"57",15731,"non-functional",-8.51945719,33.0060239,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"58",15764,"functional",-8.54892608,33.43873715,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"59",16024,"functional",-8.70987661,33.2799315,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"60",16210,"functional",-8.6653003,33.57090209,"Mbeya","vwc","enough",0,"GOVERNMENT","DANIDA"
"61",16276,"functional",-8.38206079,32.99835346,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"62",16598,"non-functional",-8.58519606,33.03032323,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"63",16830,"non-functional",-8.02873667,33.26878905,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"64",17800,"functional-needs-repair",-8.70612259,33.28755073,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"65",17875,"non-functional",-8.61810437,33.37229404,"Mbeya","vwc","insufficient",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"66",17897,"functional-needs-repair",-8.56654494,33.45691647,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"67",18083,"functional-needs-repair",-8.64433288,33.56536132,"Mbeya","vwc","enough",0,"GOVERNMENT","DANIDA"
"68",18427,"functional-needs-repair",-8.70563142,33.28651217,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"69",18584,"functional-needs-repair",-8.4150482,33.16630797,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"70",18942,"non-functional",-8.44310926,33.01219658,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"71",19173,"functional",-8.4437019,33.01159327,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"72",19344,"non-functional",-7.91176132,33.32259859,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"73",19357,"functional-needs-repair",-8.35083714,32.90902136,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"74",19417,"non-functional",-8.54601185,32.99884045,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"75",19700,"functional-needs-repair",-8.41909945,33.16345802,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"76",19739,"functional-needs-repair",-8.70739465,33.28038026,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"77",19890,"functional",-8.38205427,33.00216121,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"78",20488,"non-functional",-8.48731277,33.04897452,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"79",20518,"functional-needs-repair",-7.74146782,32.81509675,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"80",20587,"non-functional",-8.05059376,32.65667387,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"81",20725,"functional-needs-repair",-8.63358584,33.14961422,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"82",20946,"non-functional",-8.63190092,33.13824848,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"83",21149,"functional-needs-repair",-8.70384534,33.28303765,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"84",21913,"functional-needs-repair",-8.67063143,33.57211675,"Mbeya","vwc","enough",0,"GOVERNMENT","DANIDA"
"85",22030,"functional-needs-repair",-8.69935871,33.28465924,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"86",22115,"non-functional",-8.41461059,33.15849627,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"87",22125,"non-functional",-8.00424292,33.2984803,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"88",22301,"functional",-8.38333404,32.99852373,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"89",22543,"functional-needs-repair",-8.70848506,33.28642707,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"90",22806,"functional-needs-repair",-8.41964837,33.15998596,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"91",22937,"functional",-8.38526237,32.99974657,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"92",22950,"non-functional",-8.41366826,33.1637007,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"93",23134,"functional",-8.38434908,32.99813053,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"94",23276,"functional-needs-repair",-8.45680585,33.00760159,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"95",23441,"non-functional",-8.56670537,33.06081113,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"96",23585,"functional-needs-repair",-8.57714073,33.06399083,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"97",23644,"non-functional",-8.42302476,33.44372477,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"98",23730,"non-functional",-8.61028525,33.0190999,"Mbeya","vwc","insufficient",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"99",24021,"functional-needs-repair",-7.73843754,32.81694078,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"100",24428,"functional",-7.09060322,33.49720364,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"101",24613,"functional",-8.53802747,33.3651186,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"102",25009,"functional",-8.38585887,32.99501259,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"103",25310,"functional-needs-repair",-8.6141404,33.52713196,"Mbeya","vwc","enough",0,"GOVERNMENT","DANIDA"
"104",25465,"functional",-8.06321234,32.67891739,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"105",25640,"non-functional",-8.62890004,33.14963894,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"106",25732,"non-functional",-8.60771407,32.92014213,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"107",25939,"non-functional",-8.56971757,33.03447173,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"108",26026,"non-functional",-7.91503463,33.32386411,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"109",26375,"non-functional",-7.50632496,33.44111874,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"110",27079,"functional",-8.38308888,33.00045117,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"111",27153,"non-functional",-8.61340952,33.01736925,"Mbeya","vwc","insufficient",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"112",27410,"non-functional",-8.42434877,33.44697613,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"113",27505,"functional-needs-repair",-8.59239926,33.11486912,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"114",27533,"functional",-8.43488635,33.00902046,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"115",27996,"functional-needs-repair",-8.57486532,33.05785234,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"116",28693,"non-functional",-8.54774716,33.44194955,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"117",29182,"non-functional",-8.42619281,33.44539334,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"118",29379,"non-functional",-8.52150345,33.01027974,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"119",29419,"functional-needs-repair",-8.58120179,33.05941833,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"120",29760,"functional-needs-repair",-8.41652229,33.16068248,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"121",29889,"functional-needs-repair",-8.35511431,32.91225776,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"122",30164,"non-functional",-8.60745417,32.91926356,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"123",30296,"non-functional",-7.8529765,32.4832359,"Mbeya","vwc","enough",0,"GOVERNMENT","Other"
"124",30580,"functional",-8.02627397,33.26359339,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"125",31287,"non-functional",-8.51865549,33.00736715,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"126",31423,"functional-needs-repair",-8.70808096,33.28412236,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"127",31828,"non-functional",-7.13864438,33.48792365,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"128",31946,"functional-needs-repair",-7.73908201,32.81517524,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"129",32330,"non-functional",-8.25803521,33.24766292,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"130",32391,"functional",-8.54122314,33.43157606,"Mbeya","vwc","seasonal",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"131",32409,"non-functional",-8.42243369,33.44131571,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"132",33045,"functional",-8.38187939,32.99843128,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"133",33079,"functional-needs-repair",-8.43187334,33.01310041,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"134",33252,"non-functional",-7.73927564,32.81781964,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"135",33401,"functional",-8.55133841,33.43941125,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"136",33757,"functional-needs-repair",-8.57111255,33.45554821,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"137",33784,"functional",-8.38727261,32.99563739,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"138",33927,"functional",-7.71941754,32.78594785,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"139",34029,"functional-needs-repair",-8.70167525,33.28378826,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"140",34340,"functional-needs-repair",-8.45718989,33.01044865,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"141",34897,"non-functional",-8.53595353,33.00226638,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"142",35433,"non-functional",-8.58589623,33.1084713,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"143",35762,"non-functional",-8.44168839,33.01112778,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"144",36154,"non-functional",-8.63976184,33.1400176,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"145",36393,"non-functional",-8.45154559,33.27119423,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"146",36569,"functional",-8.54529993,33.44214096,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"147",36940,"functional",-7.96047711,33.51042048,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"148",37172,"functional-needs-repair",-8.5699574,33.06569218,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"149",37883,"functional-needs-repair",-8.6178449,33.13128973,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"150",38288,"functional",-7.85207813,32.48717548,"Mbeya","vwc","enough",0,"GOVERNMENT","Other"
"151",38778,"functional-needs-repair",-8.60021078,33.51713113,"Mbeya","vwc","enough",0,"GOVERNMENT","DANIDA"
"152",38806,"functional-needs-repair",-8.59416175,33.50097573,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"153",38859,"functional",-8.55749971,33.44329054,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"154",38925,"functional-needs-repair",-8.42095537,33.1611899,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"155",39044,"functional-needs-repair",-8.57304109,33.06235753,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"156",39107,"functional",-8.43529603,33.00733847,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"157",39339,"non-functional",-8.56748368,33.04066879,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"158",39635,"functional-needs-repair",-8.35037253,32.90680228,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"159",40056,"non-functional",-8.52404655,33.00771686,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"160",40127,"non-functional",-7.85625004,32.48132492,"Mbeya","vwc","enough",0,"GOVERNMENT","Other"
"161",40607,"non-functional",-8.52088818,33.00944043,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"162",40707,"non-functional",-8.43752498,33.01433765,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"163",40752,"functional-needs-repair",-8.70489662,33.28912364,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"164",40754,"functional",-7.73770982,32.81995123,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"165",42082,"functional-needs-repair",-8.57715061,33.05787987,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"166",42085,"non-functional",-8.42458846,33.44469163,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"167",42111,"functional",-8.4400523,33.01242333,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"168",42181,"functional",-8.5524974,33.43984636,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"169",43103,"non-functional",-8.45155733,33.28395483,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"170",43407,"non-functional",-8.43955984,33.01145379,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"171",43458,"non-functional",-7.14169077,33.48478331,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"172",43993,"non-functional",-8.60644196,33.02440816,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"173",44438,"non-functional",-8.56918457,33.04067324,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"174",44537,"functional",-8.54110855,33.43142119,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"175",45089,"non-functional",-8.62639794,33.14764834,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"176",45717,"functional-needs-repair",-8.57350688,33.05869305,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"177",45874,"functional-needs-repair",-8.63264587,33.14733749,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"178",46262,"functional-needs-repair",-8.65977596,33.55923549,"Mbeya","vwc","enough",0,"GOVERNMENT","DANIDA"
"179",46402,"non-functional",-8.62753606,33.14974445,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"180",46485,"functional-needs-repair",-8.57146063,33.45369307,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"181",47208,"non-functional",-8.44810928,33.27193681,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"182",47919,"non-functional",-8.44064138,33.01241382,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"183",48066,"non-functional",-8.38129406,33.10404189,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"184",48094,"non-functional",-7.91128453,33.3245128,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"185",48493,"functional-needs-repair",-8.57156166,33.45227997,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"186",48689,"functional",-7.13867812,33.49116434,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"187",49226,"non-functional",-8.44612642,33.27281649,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"188",49359,"functional",-8.55381116,33.44179295,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"189",49365,"functional-needs-repair",-8.56791661,33.45113205,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"190",49834,"functional-needs-repair",-8.63124483,33.15000561,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"191",49932,"functional-needs-repair",-8.58970215,33.10749012,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"192",49994,"functional-needs-repair",-8.5683947,33.0591187,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"193",50052,"functional",-8.70439929,33.28836887,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"194",50075,"functional-needs-repair",-8.70843193,33.28782726,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"195",50194,"non-functional",-7.75928189,33.35585586,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"196",51127,"functional-needs-repair",-8.70257312,33.28604188,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"197",51446,"non-functional",-8.57038014,33.04218659,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"198",52010,"functional-needs-repair",-8.5905244,33.49747584,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"199",52042,"functional-needs-repair",-8.70846878,33.28233172,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"200",52141,"non-functional",-7.46080515,33.42893523,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
